Date,Location,Lemon,Orange,Temperature,Leaflets,Price
7/1/2024,Park,97,67,70,90,0.25
7/2/2024,Park,98,67,72,90,0.25
7/3/2024,Park,110,77,71,104,0.25
7/4/2024,Beach,134,99,76,98,0.25
7/5/2024,Beach,159,118,78,135,0.25
7/6/2024,Beach,103,69,82,90,0.25
7/6/2024,Beach,103,69,82,90,0.25
7/7/2024,Beach,143,101,81,135,0.25
,Beach,123,86,82,113,0.25
7/9/2024,Beach,134,95,80,126,0.25
7/10/2024,Beach,140,98,82,131,0.25
7/11/2024,Beach,162,120,83,135,0.25
7/12/2024,Beach,130,95,84,99,0.25
7/13/2024,Beach,109,75,77,99,0.25
7/14/2024,Beach,122,85,78,113,0.25
7/15/2024,Beach,98,62,75,108,0.5
7/16/2024,Beach,81,50,74,90,0.5
7/17/2024,Beach,115,76,77,126,0.5
7/18/2024,Park,131,92,81,122,0.5
7/19/2024,Park,122,85,78,113,0.5
7/20/2024,Park,71,42,70,,0.5
7/21/2024,Park,83,50,77,90,0.5
7/22/2024,Park,112,75,80,108,0.5
7/23/2024,Park,120,82,81,117,0.5
7/24/2024,Park,121,82,82,117,0.5
7/25/2024,Park,156,113,84,135,0.5
7/26/2024,Park,176,129,83,158,0.35
7/27/2024,Park,104,68,80,99,0.35
7/28/2024,Park,96,63,82,90,0.35
7/29/2024,Park,100,66,81,95,0.35
7/30/2024,Beach,88,57,82,81,0.35
7/31/2024,Beach,76,47,82,68,0.35
