Date,Location,Lemon,Temperature,Leaflets,Price,Sold,Revenue
7/1/2024,Park,97,70,90,0.25,164,41
7/2/2024,Park,98,72,90,0.25,165,41.25
7/3/2024,Park,110,71,104,0.25,187,46.75
7/4/2024,Beach,134,76,98,0.25,233,58.25
7/5/2024,Beach,159,78,135,0.25,277,69.25
7/6/2024,Beach,103,82,90,0.25,172,43
7/6/2024,Beach,103,82,90,0.25,172,43
7/7/2024,Beach,143,81,135,0.25,244,61
,Beach,123,82,113,0.25,209,52.25
7/9/2024,Beach,134,80,126,0.25,229,57.25
7/10/2024,Beach,140,82,131,0.25,238,59.5
7/11/2024,Beach,162,83,135,0.25,282,70.5
7/12/2024,Beach,130,84,99,0.25,225,56.25
7/13/2024,Beach,109,77,99,0.25,184,46
7/14/2024,Beach,122,78,113,0.25,207,51.75
7/15/2024,Beach,98,75,108,0.5,160,80
7/16/2024,Beach,81,74,90,0.5,131,65.5
7/17/2024,Beach,115,77,126,0.5,191,95.5
7/18/2024,Park,131,81,122,0.5,223,111.5
7/19/2024,Park,122,78,113,0.5,207,103.5
7/20/2024,Park,71,70,,0.5,113,56.5
7/21/2024,Park,83,77,90,0.5,133,66.5
7/22/2024,Park,112,80,108,0.5,187,93.5
7/23/2024,Park,120,81,117,0.5,202,101
7/24/2024,Park,121,82,117,0.5,203,101.5
7/25/2024,Park,156,84,135,0.5,269,134.5
7/26/2024,Park,176,83,158,0.35,305,106.75
7/27/2024,Park,104,80,99,0.35,172,60.2
7/28/2024,Park,96,82,90,0.35,159,55.65
7/29/2024,Park,100,81,95,0.35,166,58.1
7/30/2024,Beach,88,82,81,0.35,145,50.75
7/31/2024,Beach,76,82,68,0.35,123,43.05
