datetime,casual,registered,count
2012-06-14 13:00,64.0,238.0,296.0
2011-11-13 0:00,12.0,87.0,91.0
2012-08-16 1:00,4.0,20.0,26.0
2011-12-14 19:00,11.0,247.0,275.0
2011-10-12 6:00,5.0,81.0,84.0
2011-03-06 23:00,1.0,10.0,11.0
2012-01-05 10:00,7.0,85.0,96.0
2011-07-13 15:00,7.0,55.0,65.0
2012-07-07 10:00,117.0,210.0,327.0
2012-02-17 10:00,16.0,130.0,160.0
2012-06-14 4:00,0.0,8.0,8.0
2012-06-15 8:00,52.0,678.0,719.0
2012-10-03 1:00,3.0,17.0,20.0
2011-01-07 6:00,1.0,28.0,28.0
2011-12-01 23:00,3.0,53.0,73.0
2012-12-12 7:00,6.0,315.0,337.0
2012-11-07 19:00,14.0,312.0,335.0
2012-10-07 2:00,9.0,50.0,69.0
2011-11-17 9:00,10.0,209.0,199.0
2012-07-14 21:00,58.0,184.0,230.0
2011-03-09 10:00,9.0,47.0,59.0
2011-02-17 6:00,2.0,42.0,42.0
2012-12-17 15:00,20.0,177.0,181.0
2011-09-10 3:00,4.0,14.0,18.0
2011-10-01 21:00,12.0,66.0,80.0
2011-10-10 23:00,21.0,60.0,68.0
2011-12-17 9:00,16.0,116.0,125.0
2011-01-06 18:00,3.0,125.0,124.0
2011-09-12 8:00,24.0,521.0,417.0
2012-06-16 2:00,12.0,58.0,69.0
2011-10-03 13:00,14.0,94.0,99.0
2011-07-10 15:00,168.0,198.0,367.0
2012-09-07 8:00,31.0,715.0,536.0
2012-11-09 7:00,7.0,276.0,297.0
2011-06-08 12:00,31.0,132.0,166.0
2012-05-11 7:00,18.0,305.0,393.0
2011-02-07 5:00,0.0,5.0,5.0
2012-12-15 22:00,27.0,141.0,192.0
2012-09-10 17:00,107.0,734.0,779.0
2011-09-13 15:00,45.0,146.0,191.0
2011-04-02 16:00,76.0,97.0,161.0
2012-11-18 17:00,64.0,232.0,319.0
2011-07-03 11:00,142.0,198.0,312.0
2011-08-17 3:00,0.0,4.0,5.0
2012-03-02 12:00,28.0,189.0,205.0
2011-05-08 5:00,2.0,6.0,7.0
2012-05-15 21:00,27.0,128.0,132.0
2012-05-13 12:00,166.0,352.0,560.0
2012-10-01 15:00,77.0,230.0,306.0
2012-03-03 15:00,170.0,245.0,423.0
2011-02-03 11:00,2.0,44.0,51.0
2011-08-06 1:00,19.0,59.0,77.0
2012-11-13 0:00,6.0,30.0,40.0
2011-11-11 22:00,10.0,106.0,118.0
2012-08-08 20:00,52.0,300.0,367.0
2012-05-02 5:00,2.0,38.0,39.0
2011-02-11 7:00,2.0,81.0,95.0
2011-04-14 20:00,23.0,150.0,201.0
2012-11-03 10:00,82.0,233.0,338.0
2012-01-18 23:00,1.0,42.0,45.0
2011-02-09 14:00,4.0,55.0,63.0
2012-03-01 4:00,1.0,3.0,5.0
2012-01-17 2:00,0.0,2.0,3.0
2011-05-09 9:00,32.0,187.0,200.0
2012-01-09 22:00,2.0,77.0,78.0
2012-01-07 19:00,52.0,238.0,246.0
2011-09-13 14:00,44.0,136.0,184.0
2011-05-12 10:00,31.0,98.0,133.0
2012-09-09 3:00,6.0,28.0,37.0
2011-11-13 17:00,118.0,247.0,367.0
2012-08-01 13:00,64.0,223.0,288.0
2011-10-17 10:00,34.0,106.0,139.0
2011-09-01 23:00,19.0,84.0,87.0
2011-03-17 23:00,7.0,37.0,43.0
2012-12-18 21:00,11.0,203.0,223.0
2011-09-01 6:00,6.0,98.0,105.0
2011-04-15 8:00,15.0,46.0,100.0
2011-05-08 22:00,30.0,82.0,101.0
2011-03-07 7:00,3.0,92.0,102.0
2011-05-14 18:00,47.0,95.0,169.0
2011-02-10 23:00,1.0,25.0,24.0
2012-02-18 17:00,102.0,263.0,448.0
2011-08-12 1:00,4.0,17.0,26.0
2011-02-04 12:00,6.0,62.0,68.0
2012-12-13 10:00,18.0,168.0,188.0
2011-06-14 13:00,45.0,147.0,191.0
2012-12-10 23:00,7.0,92.0,99.0
2011-11-14 5:00,1.0,19.0,19.0
2012-06-06 19:00,42.0,420.0,450.0
2012-06-19 5:00,1.0,31.0,30.0
2012-09-15 2:00,18.0,62.0,75.0
2011-11-02 20:00,13.0,174.0,185.0
2011-09-06 12:00,14.0,82.0,112.0
2011-04-19 15:00,31.0,96.0,141.0
2012-10-18 19:00,43.0,459.0,469.0
2011-08-01 10:00,45.0,88.0,129.0
2011-12-04 21:00,19.0,100.0,120.0
2012-09-04 9:00,28.0,255.0,295.0
2011-05-14 19:00,19.0,70.0,96.0
2011-11-15 13:00,24.0,98.0,129.0
2012-05-15 17:00,83.0,755.0,680.0
2011-10-12 5:00,1.0,20.0,20.0
2012-09-03 2:00,13.0,32.0,50.0
2011-05-17 7:00,9.0,149.0,150.0
2011-09-16 14:00,52.0,145.0,191.0
2011-08-01 11:00,52.0,108.0,155.0
2012-12-05 6:00,5.0,101.0,96.0
2012-01-05 8:00,6.0,338.0,442.0
2011-03-11 18:00,13.0,202.0,200.0
2011-01-05 7:00,1.0,90.0,82.0
2011-09-12 5:00,1.0,21.0,24.0
2012-10-08 23:00,12.0,101.0,98.0
2011-08-02 0:00,9.0,26.0,40.0
2012-03-05 4:00,0.0,3.0,3.0
2011-11-11 17:00,27.0,233.0,261.0
2011-05-04 1:00,3.0,7.0,8.0
2011-05-14 8:00,11.0,55.0,75.0
2011-03-07 0:00,-0.0,4.0,5.0
2011-03-09 7:00,4.0,112.0,113.0
2011-12-05 23:00,8.0,56.0,64.0
2012-04-14 10:00,116.0,210.0,330.0
2012-05-09 2:00,1.0,4.0,5.0
2011-02-10 10:00,2.0,37.0,39.0
2011-11-06 20:00,30.0,112.0,137.0
2011-01-18 20:00,2.0,52.0,53.0
2011-08-02 21:00,34.0,150.0,186.0
2011-12-04 9:00,16.0,114.0,140.0
2011-05-18 9:00,12.0,108.0,112.0
2011-01-11 17:00,2.0,124.0,105.0
2011-06-07 15:00,45.0,134.0,178.0
2012-11-06 15:00,26.0,205.0,224.0
2012-09-18 1:00,2.0,11.0,14.0
2011-07-09 8:00,37.0,107.0,139.0
2012-07-16 10:00,56.0,133.0,197.0
2011-08-09 7:00,21.0,293.0,296.0
2011-11-14 16:00,56.0,245.0,300.0
2012-02-18 22:00,15.0,102.0,116.0
2012-08-11 4:00,3.0,8.0,10.0
2011-09-05 7:00,15.0,77.0,97.0
2012-12-18 7:00,7.0,308.0,367.0
2011-09-17 3:00,5.0,14.0,21.0
2011-06-05 10:00,74.0,167.0,258.0
2012-04-14 21:00,46.0,192.0,273.0
2011-02-01 3:00,0.0,2.0,2.0
2012-09-09 22:00,35.0,128.0,153.0
2011-03-15 19:00,8.0,131.0,133.0
2012-11-01 0:00,5.0,46.0,47.0
2012-07-07 6:00,8.0,33.0,62.0
2012-02-10 15:00,16.0,161.0,171.0
2011-06-05 4:00,1.0,6.0,9.0
2012-04-18 14:00,16.0,79.0,112.0
2012-02-07 11:00,14.0,132.0,154.0
2012-08-03 22:00,55.0,191.0,258.0
2012-09-13 17:00,100.0,755.0,809.0
2012-09-17 16:00,62.0,315.0,367.0
2012-09-07 15:00,88.0,244.0,345.0
2011-04-18 0:00,7.0,18.0,25.0
2011-08-07 9:00,83.0,128.0,196.0
2012-10-08 12:00,123.0,299.0,390.0
2011-05-17 15:00,45.0,143.0,186.0
2012-06-15 6:00,6.0,145.0,141.0
2011-01-02 19:00,8.0,60.0,64.0
2011-07-08 2:00,3.0,10.0,16.0
2012-07-15 1:00,18.0,78.0,94.0
2011-05-17 19:00,44.0,308.0,356.0
2011-07-12 11:00,46.0,119.0,171.0
2012-09-14 22:00,20.0,176.0,179.0
2011-09-08 19:00,6.0,86.0,89.0
2012-02-13 15:00,17.0,150.0,175.0
2012-08-07 17:00,84.0,705.0,723.0
2012-03-19 3:00,1.0,3.0,5.0
2012-06-10 15:00,219.0,284.0,512.0
2011-12-05 16:00,26.0,238.0,284.0
2012-01-17 11:00,7.0,98.0,106.0
2012-01-19 18:00,7.0,218.0,237.0
2011-03-02 17:00,39.0,278.0,335.0
2012-02-19 19:00,11.0,102.0,117.0
2012-05-11 8:00,47.0,708.0,723.0
2012-01-01 4:00,1.0,4.0,4.0
2012-12-04 15:00,50.0,220.0,278.0
2011-06-17 8:00,20.0,504.0,416.0
2012-04-07 21:00,71.0,184.0,277.0
2011-11-14 12:00,40.0,151.0,189.0
2012-05-14 17:00,23.0,293.0,218.0
2011-12-11 17:00,21.0,218.0,212.0
2012-10-07 16:00,43.0,191.0,261.0
2012-12-02 19:00,23.0,164.0,218.0
2011-11-16 22:00,5.0,47.0,55.0
2011-02-09 8:00,3.0,195.0,177.0
2012-06-16 12:00,237.0,359.0,606.0
2011-04-07 9:00,15.0,131.0,134.0
2012-09-14 10:00,67.0,170.0,254.0
2011-07-02 20:00,120.0,173.0,271.0
2011-08-11 8:00,29.0,346.0,463.0
2012-01-16 1:00,1.0,25.0,23.0
2011-09-04 9:00,70.0,114.0,180.0
2012-10-07 21:00,21.0,130.0,152.0
2012-05-10 9:00,39.0,287.0,333.0
2012-12-05 2:00,1.0,6.0,8.0
2012-09-04 14:00,61.0,191.0,279.0
2012-08-12 11:00,204.0,282.0,482.0
2012-03-08 23:00,11.0,79.0,94.0
2011-09-15 23:00,8.0,55.0,55.0
2012-12-19 9:00,11.0,266.0,294.0
2011-04-09 8:00,11.0,35.0,60.0
2012-10-02 14:00,12.0,107.0,131.0
2012-12-13 3:00,1.0,6.0,6.0
2012-08-13 4:00,0.0,7.0,7.0
2011-06-07 3:00,1.0,3.0,5.0
2012-08-19 3:00,6.0,34.0,34.0
2011-02-12 11:00,20.0,77.0,97.0
2012-11-07 12:00,22.0,201.0,224.0
2012-01-05 22:00,4.0,86.0,98.0
2012-08-02 2:00,2.0,10.0,11.0
2012-07-01 14:00,144.0,207.0,360.0
2012-09-10 23:00,15.0,88.0,117.0
2011-08-08 2:00,2.0,3.0,6.0
2011-03-07 1:00,-0.0,2.0,3.0
2011-11-03 4:00,1.0,4.0,5.0
2012-05-19 10:00,128.0,264.0,395.0
2012-09-15 15:00,267.0,315.0,599.0
2011-04-01 7:00,2.0,77.0,61.0
2012-01-19 6:00,1.0,58.0,60.0
2011-10-15 22:00,54.0,124.0,191.0
2011-02-07 23:00,3.0,25.0,27.0
2012-09-03 13:00,156.0,244.0,375.0
2012-11-02 18:00,30.0,474.0,489.0
2012-10-17 22:00,9.0,146.0,148.0
2011-03-15 10:00,11.0,50.0,64.0
2011-12-10 17:00,20.0,185.0,206.0
2011-04-13 12:00,8.0,42.0,48.0
2012-11-10 23:00,26.0,123.0,131.0
2012-07-08 14:00,132.0,209.0,358.0
2011-06-02 7:00,24.0,254.0,335.0
2012-07-08 12:00,152.0,258.0,414.0
2012-06-08 14:00,102.0,237.0,332.0
2011-10-06 7:00,11.0,255.0,315.0
2012-08-11 8:00,32.0,157.0,180.0
2012-08-15 13:00,66.0,218.0,275.0
2012-03-13 23:00,19.0,77.0,96.0
2011-05-19 15:00,36.0,150.0,212.0
2011-12-12 1:00,1.0,8.0,9.0
2012-05-08 2:00,1.0,5.0,5.0
2011-12-14 9:00,6.0,204.0,183.0
2011-02-04 1:00,1.0,5.0,6.0
2012-03-09 10:00,15.0,122.0,145.0
2012-08-07 20:00,44.0,277.0,335.0
2011-12-06 0:00,5.0,22.0,29.0
2011-01-06 11:00,3.0,45.0,48.0
2011-03-07 19:00,8.0,118.0,129.0
2012-04-16 14:00,164.0,227.0,367.0
2011-02-06 15:00,33.0,79.0,131.0
2012-07-09 20:00,48.0,305.0,366.0
