id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2560881,1,2016-01-18 11:10,2016-01-18 11:10,1,-73.97840118,40.76285934,-73.97842407,40.76286697,N,4
id3059620,1,2016-01-06 21:53,2016-01-06 21:53,1,-74.03189087,40.72677994,-74.03189087,40.72677994,N,35
id2310998,2,2016-02-21 23:01,2016-02-21 23:01,1,-73.78188324,40.64483643,-73.78180695,40.64485931,N,33
id3472462,1,2016-02-08 0:05,2016-02-08 0:05,1,-73.96807098,40.75914764,-73.96747589,40.75998306,N,32
id1271427,1,2016-06-26 13:52,2016-06-26 13:52,1,-73.95153809,40.78115463,-73.95153046,40.78115463,N,20
id0050647,1,2016-05-06 13:58,2016-05-06 13:58,1,-74.01004791,40.70341492,-74.01004791,40.7034111,N,9
id1259224,1,2016-05-26 10:55,2016-05-26 10:56,1,-73.97825623,40.752491,-73.97821045,40.75206375,N,42
id3627580,1,2016-03-17 20:07,2016-03-17 20:07,1,-73.98214722,40.74552917,-73.98210144,40.74544907,N,3
id2134482,1,2016-01-22 16:13,2016-01-22 16:13,1,-73.77631378,40.64545441,-73.77631378,40.64545441,N,19
id0184282,2,2016-03-18 10:36,2016-03-18 10:36,1,-73.77632904,40.64553833,-73.77632904,40.64553833,N,4
id3134126,2,2016-03-20 4:14,2016-03-20 4:15,1,-73.96950531,40.75765228,-73.96950531,40.75765228,N,39
id3658446,2,2016-02-24 20:34,2016-02-24 20:35,1,-74.00450134,40.74202728,-74.00443268,40.74196243,N,24
id0210376,1,2016-05-10 14:08,2016-05-10 14:08,1,-73.7964325,40.64523697,-73.7977066,40.645401,N,6
id3278564,2,2016-04-26 2:04,2016-04-26 2:04,2,-73.91486359,40.69799042,-73.91487122,40.69797897,N,13
id1725649,1,2016-03-15 9:23,2016-03-15 9:23,1,-74.53387451,40.72519302,-74.53385925,40.72518921,N,4
id2456838,1,2016-01-13 20:11,2016-01-13 20:11,1,-73.79344177,40.64481354,-73.79524231,40.64466858,N,7
id3911298,1,2016-04-17 11:40,2016-04-17 11:41,1,-73.99931335,40.75946426,-74.00080109,40.75818253,N,37
id1986892,1,2016-04-18 18:19,2016-04-18 18:19,1,-73.96257019,40.75824356,-73.96239471,40.75850677,N,35
id2587312,2,2016-06-03 9:09,2016-06-03 9:09,2,-73.98421478,40.75508118,-73.98419189,40.75509644,N,24
id3060225,2,2016-01-08 8:56,2016-01-08 8:56,1,-73.97025299,40.78918839,-73.97104645,40.78767014,N,45
id0250635,1,2016-02-27 9:53,2016-02-27 9:54,1,-73.94907379,40.81292343,-73.94661713,40.81629181,N,49
id3820286,2,2016-04-29 10:52,2016-04-29 10:52,1,-73.96629333,40.78958893,-73.96703339,40.78852844,N,17
id3174993,2,2016-06-17 22:44,2016-06-17 22:45,1,-73.7818985,40.64467621,-73.78188324,40.64471054,N,42
id2226841,1,2016-03-09 15:10,2016-03-09 15:10,1,-74.00140381,40.74115753,-74.00134277,40.74110413,N,5
id3670699,1,2016-05-25 20:39,2016-05-25 20:39,1,-73.97136688,40.78625107,-73.97136688,40.78625107,N,5
id0233156,1,2016-01-25 16:28,2016-01-25 16:28,1,-73.9785614,40.75639725,-73.9786377,40.75632095,N,5
id0508736,1,2016-03-30 8:05,2016-03-30 8:05,1,-73.96409607,40.77717209,-73.96408844,40.77715683,N,3
id0554582,1,2016-06-04 23:37,2016-06-04 23:37,1,-73.8110733,40.73567581,-73.81080627,40.73577118,N,21
id2937497,1,2016-02-08 18:13,2016-02-08 18:14,2,-73.94541931,40.75162888,-73.94541931,40.75162888,N,22
id0570788,1,2016-01-18 1:55,2016-01-18 1:56,1,-73.96920013,40.64060211,-73.96908569,40.64015579,N,4
id0393224,1,2016-01-04 18:20,2016-01-04 18:20,1,-73.99701691,40.72241974,-73.99690247,40.72261047,N,19
id0069024,2,2016-03-14 17:12,2016-03-14 17:13,1,-73.95111847,40.74163055,-73.95426941,40.74158478,N,36
id1679550,1,2016-03-04 11:53,2016-03-04 11:54,1,-73.97561646,40.7611618,-73.97519684,40.7610321,N,45
id3520196,1,2016-01-14 14:50,2016-01-14 14:50,1,-74.00728607,40.74372101,-74.00751495,40.74446869,N,30
id1927533,1,2016-04-21 14:17,2016-04-21 14:17,1,-74.00556946,40.74435043,-74.00402069,40.74373627,N,40
id2737999,2,2016-05-01 3:42,2016-05-01 3:42,4,-73.96478271,40.75585938,-73.96285248,40.75812912,N,16
id2570376,1,2016-03-22 1:38,2016-03-22 1:39,1,-73.96942139,40.78852463,-73.96942139,40.78852844,N,31
id3894654,1,2016-03-07 23:38,2016-03-07 23:39,1,-73.95565033,40.76145554,-73.95767212,40.76124573,N,44
id3763416,1,2016-06-16 0:45,2016-06-16 0:45,2,-73.98801422,40.71873856,-73.98754883,40.7196312,N,37
id0033056,1,2016-04-29 15:53,2016-04-29 15:53,1,-73.78274536,40.64882278,-73.7828064,40.64884186,N,19
id3723727,2,2016-05-16 12:06,2016-05-16 12:07,5,-73.99462128,40.74066925,-73.99401093,40.74139023,N,33
id2749989,1,2016-05-10 11:48,2016-05-10 11:48,1,-73.98363495,40.75709915,-73.98408508,40.75752258,N,22
id1113867,1,2016-06-04 6:20,2016-06-04 6:20,1,-73.977005,40.73249817,-73.977005,40.73249817,Y,18
id2885541,1,2016-01-15 0:54,2016-01-15 0:54,1,-73.98699951,40.6879425,-73.98698425,40.68793869,N,9
id0619157,1,2016-01-04 20:17,2016-01-04 20:18,1,-73.97637939,40.7517662,-73.97896576,40.74943161,N,45
id1792628,1,2016-03-07 10:49,2016-03-07 10:50,1,-73.76675415,41.03223801,-73.76675415,41.03223801,N,31
id3441415,2,2016-01-18 10:32,2016-01-18 10:33,1,-73.97569275,40.77661896,-73.97828674,40.77318954,N,47
id1840175,1,2016-02-28 16:57,2016-02-28 16:57,1,-73.98407745,40.76286316,-73.98414612,40.7627449,N,15
id2092641,2,2016-04-25 20:17,2016-04-25 20:17,1,-73.97559357,40.75170135,-73.98032379,40.75323868,N,49
id0562173,2,2016-03-19 14:27,2016-03-19 14:28,5,-74.00170898,40.74096298,-74.00082397,40.74078751,N,33
id3264408,2,2016-04-03 4:46,2016-04-03 4:46,1,-73.87264252,40.77444077,-73.87307739,40.77442169,N,37
id0309659,1,2016-01-20 5:12,2016-01-20 5:13,1,-73.96302032,40.76308441,-73.96318817,40.76319122,N,10
id2805720,1,2016-06-18 9:48,2016-06-18 9:48,1,-73.94552612,40.75162506,-73.94552612,40.75166321,N,26
id0873981,1,2016-01-17 19:51,2016-01-17 19:51,1,-73.78980255,40.64385223,-73.78977966,40.64387894,N,5
id0399597,1,2016-02-04 15:24,2016-02-04 15:24,1,-73.94605255,40.74560928,-73.94597626,40.74564362,N,6
id1857096,1,2016-02-26 10:05,2016-02-26 10:05,1,-73.95021057,40.76147461,-73.95013428,40.76136398,N,17
id3994418,1,2016-06-21 10:44,2016-06-21 10:45,1,-73.86448669,40.77024078,-73.86463928,40.77025604,N,34
id1065242,1,2016-04-03 17:16,2016-04-03 17:17,1,-73.97757721,40.74305725,-73.9775238,40.74303055,N,41
id2224545,1,2016-04-05 11:44,2016-04-05 11:44,1,-73.92660522,40.74166489,-73.926651,40.74163055,N,9
id3587163,1,2016-05-07 22:00,2016-05-07 22:00,1,-74.31734467,40.64852142,-74.31734467,40.64852142,N,28
id1765425,1,2016-06-29 18:33,2016-06-29 18:33,1,-73.95095062,40.81238174,-73.95096588,40.81238556,N,29
id2601951,1,2016-06-12 8:45,2016-06-12 8:46,1,-73.980896,40.74794388,-73.98091888,40.74798584,N,12
id0250768,2,2016-01-03 14:17,2016-01-03 14:18,5,-74.00525665,40.72875214,-74.00556183,40.7256012,N,45
id3663509,1,2016-06-16 20:15,2016-06-16 20:16,1,-73.94287109,40.74982834,-73.94287109,40.74982834,Y,4
id1926514,2,2016-04-10 10:58,2016-04-10 10:59,1,-73.94859314,40.7862587,-73.945755,40.79000854,N,48
id0071629,1,2016-02-08 3:52,2016-02-08 3:52,1,-73.85437775,40.71095276,-73.85437775,40.71095276,N,24
id3674869,2,2016-03-23 8:07,2016-03-23 8:07,1,-73.9475174,40.83050537,-73.95025635,40.8268013,N,45
id2434536,2,2016-02-09 22:57,2016-02-09 22:57,1,-73.99934387,40.74399567,-73.99911499,40.74435043,N,45
id0718705,2,2016-01-10 22:09,2016-01-10 22:09,1,-74.00392914,40.74220276,-74.00389862,40.74237442,N,26
id1873584,2,2016-01-27 9:31,2016-01-27 9:31,1,-73.93698883,40.76475906,-73.93699646,40.76475143,N,13
id1123327,1,2016-04-20 11:32,2016-04-20 11:33,1,-73.94712067,40.74498749,-73.94712067,40.74498749,N,24
id3471742,2,2016-01-10 17:12,2016-01-10 17:13,1,-74.01439667,40.70819092,-74.01439667,40.70819092,N,15
id3221678,1,2016-02-04 19:43,2016-02-04 19:43,1,-73.95684052,40.77753067,-73.95754242,40.77767181,N,12
id1226915,1,2016-01-01 1:25,2016-01-01 1:26,1,-73.98356628,40.73435593,-73.98410034,40.73364258,N,38
id1375280,2,2016-06-29 13:17,2016-06-29 13:17,2,-73.97888184,40.74436951,-73.97697449,40.74351883,N,27
id2217702,2,2016-06-27 21:50,2016-06-27 21:50,1,-73.98235321,40.77105331,-73.98235321,40.77066803,N,17
id1974218,1,2016-02-02 12:26,2016-02-02 12:26,1,-73.78170776,40.64801407,-73.78170776,40.64801025,N,3
id2425228,1,2016-06-14 21:03,2016-06-14 21:03,1,-73.94129181,40.7990799,-73.94129181,40.7990799,N,28
id2181290,1,2016-02-04 17:07,2016-02-04 17:08,1,-73.79013824,40.64417267,-73.79009247,40.64413834,N,10
id2095520,2,2016-02-19 21:09,2016-02-19 21:09,1,-73.97351837,40.64939117,-73.97353363,40.64937973,N,5
id1516877,1,2016-03-15 18:08,2016-03-15 18:09,1,-73.98467255,40.75994873,-73.98464966,40.75994492,N,17
id0229018,2,2016-04-25 0:17,2016-04-25 0:18,1,-73.99739838,40.75691986,-73.99466705,40.75598907,N,21
id1233181,2,2016-04-25 19:53,2016-04-25 19:53,1,-73.98545074,40.71831131,-73.98446655,40.72000885,N,19
id0870698,2,2016-01-13 17:22,2016-01-13 17:23,1,-73.9779892,40.77851105,-73.97962952,40.77625275,N,41
id0773280,1,2016-02-19 17:07,2016-02-19 17:07,2,-73.78837585,40.64134979,-73.78832245,40.64133453,N,17
id1791836,1,2016-03-02 18:45,2016-03-02 18:45,1,-73.77674103,40.64533615,-73.77674103,40.64536667,N,3
id0419086,2,2016-03-25 18:16,2016-03-25 18:16,1,-74.0037384,40.72248077,-74.0037384,40.72248077,N,20
id0423267,1,2016-01-25 18:42,2016-01-25 18:42,1,-73.44392395,40.78228378,-73.44392395,40.78228378,N,8
id1174525,2,2016-06-25 8:35,2016-06-25 8:35,1,-74.01520538,40.77859879,-74.01514435,40.7786026,N,9
id3169633,1,2016-05-17 21:19,2016-05-17 21:19,1,-73.78996277,40.6470108,-73.78993988,40.64700317,N,9
id2773650,1,2016-03-12 10:31,2016-03-12 10:32,1,-73.91841888,40.76979065,-73.920784,40.76778793,N,46
id0942067,2,2016-03-13 4:22,2016-03-13 4:22,1,-73.99501801,40.76533127,-73.99349213,40.76728821,N,44
id2746997,1,2016-05-02 12:02,2016-05-02 12:03,1,-73.95204926,40.76934052,-73.9520874,40.76933289,N,30
id0712031,2,2016-01-09 3:55,2016-01-09 3:55,1,-73.98000336,40.74094009,-73.98000336,40.74094009,N,10
id2719478,1,2016-06-22 7:09,2016-06-22 7:09,1,-73.98989105,40.75694656,-73.98989105,40.75694656,N,31
id1697431,1,2016-03-06 11:34,2016-03-06 11:34,1,-73.98295593,40.73504257,-73.98310852,40.73489761,N,12
id3673785,1,2016-05-08 12:13,2016-05-08 12:13,1,-73.97761536,40.7544632,-73.97767639,40.75449753,N,33
id3601624,1,2016-01-19 20:27,2016-01-19 20:27,1,-73.98256683,40.76173782,-73.98258972,40.76170731,N,7
id0282425,1,2016-04-08 18:21,2016-04-08 18:22,1,-73.97560883,40.78688812,-73.97428131,40.78864288,N,32
id0190644,1,2016-06-05 1:21,2016-06-05 1:22,1,-73.95990753,40.81370926,-73.95990753,40.81370544,N,35
id1524424,1,2016-02-10 4:35,2016-02-10 4:35,1,-73.86171722,40.76847076,-73.86171722,40.76847076,N,32
