Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_History_Months
28,Teacher,34847.84,3037.986666666670,2,1385,6,1,3,0,2.0,605.03,33.22495078663660,No,18.816214573128900,58.51597569589470,466.46647639764300,Standard,321
34,Engineer,143162.64,12187.22,1,5,8,967,8,6,3.0,1303.01,39.783993458021200,No,246.9923194537420,257.80809942569000,963.9215811205680,Good,218
55,Entrepreneur,30689.89,2612.4908333333300,2,5,4,,4,9,4.0,632.46,27.332514927554200,No,16.415451659824900,125.61725053231300,379.21638114119600,Standard,214
31,Lawyer,73928.46,5988.705000000000,4,5,8,0,8,4,2.0,548.2,36.62479126183760,No,0.0,348.5093995125950,510.36110048740500,Standard,389
34,Lawyer,131313.4,10469.207759388800,0,1,8,2,0,4,4.0,352.16,40.902517150451600,No,32662.0,263.3789089320550,963.2548189998560,Good,371
30,,34081.38,2611.115,8,7,15,3,34,14,5.0,1704.18,29.76215930632110,Yes,70.47833267207260,220.55219192916700,260.0809753987600,Poor,178
24,Doctor,114838.41,9843.8675,2,5,7,3,13,14,8.0,1377.74,26.114213868949600,,226.89279192154300,546.3805705230690,491.11338755538800,Good,261
44,Journalist,31370.8,2825.233333333330,1,6,12,2,2,0,2.0,421.43,28.22048095698560,No,46.616129073342100,298.7444693112270,227.1627349487650,Good,318
33,Engineer,88640.24,7266.686666666670,3,6,1,2,4,0,3.0,950.36,38.32363895436980,No,135.17337097171800,686.1262165951840,195.36907909976600,Good,310
35,Entrepreneur,54392.16,4766.68,6,4,14,3,10,7,3.0,179.22,27.192587405326000,Yes,124.39208242092000,494.8422277056660,147.43368987341300,Standard,325
39,Manager,8701.545,519.12875,6,5,32,7,23,6,6.0,2602.69,28.570031407996400,Yes,36.54819717138720,52.931613407134100,242.43306442147900,Poor,112
37,Entrepreneur,25546.26,2415.855,8,7,14,5,15,13,5.0,758.44,39.33348789822520,Yes,101.3286373638510,189.81586133347700,230.44100130267200,Standard,225
30,Scientist,31993.78,2942.148333333330,6,6,7,2,8,14,1.0,818.22,30.788038803709800,Yes,45.14129822463580,43.470408666891200,455.6031264418060,Standard,206
46,Teacher,32284.62,2898.385,6,7,17,6,11,12,8.0,1283.37,27.86131019311360,Yes,103.03756035536600,103.21030741657000,353.59063222806400,Standard,78
26,Musician,97791.42,7449.469346853580,6,6,12,0,16,8,1.0,107.41,44.676888593962100,Yes,629.8156531464220,108.30393861997300,939.6245613800270,Good,331
32,Entrepreneur,19300.34,1512.361666666670,6,7,17,5,53,19,8.0,2430.21,23.70919322410500,Yes,49.57206224445280,118.1855506983750,263.4785537238390,Standard,225
41,Musician,19514.88,1828.24,7,5,17,0,30,12,2.0,881.4,33.66946005394870,No,0.0,43.315824459505400,389.5081755404950,Standard,233
41,Media_Manager,10183.015,1074.5845833333300,7,5,17,5,48,18,6.0,1672.43,32.38559762083810,,37.58807283812570,92.36195001929580,267.5084354759120,Poor,122
20,Entrepreneur,106733.13,8873.4275,4,4,4975,0,2,6,0.0,76.23,42.070458602150000,No,0.0,172.03282853259900,955.3099214674010,Good,395
32,Lawyer,12600.445,782.0370833333330,5,5,10,3,25,19,11.0,569.8,31.978873515820700,Yes,26.060347529206000,66.37358000122420,275.76978080290300,Poor,154
34,Mechanic,57983.12,4720.926666666670,9,8,31,8,48,21,17.0,3532.83,37.28428974024730,Yes,200.43261339470700,205.25015227427900,356.4099009976810,Poor,150
48,Entrepreneur,20787.69,1999.3075,8,6,14,3,22,14,3.0,614.6,23.723185779641100,No,42.22199265643220,,253.32562235082100,Standard,214
30,Writer,34290.12,2697.51,9,8,25,7,52,10,9.0,2686.81,39.28029558815230,,185.1119825795010,248.06995733765300,106.56906008284700,Poor,164
32,Accountant,43070.24,3622.186666666670,3,3,18,1,11,8,4.0,1233.1,24.331771760144300,Yes,30.57608482316150,74.92037487328840,506.7222069702170,Standard,233
40,,28572.39,2210.0325,6,3,15,3,28,10,0.0,400.07,29.323516897407600,Yes,69.60292048199010,53.484203285005800,347.91612623300400,Standard,365
37,Manager,39641.54,3007.461666666670,10,8,25,6,61,16,8.0,2258.73,33.414598040847400,,172.38252735862700,236.0775818986980,162.28605740934200,Poor,105
55,Scientist,20186.02,1684.168333333330,1,5,1,2,5,7,4.0,413.32,39.06398122380780,No,29.534583720496000,138.80315747514400,270.0790921376940,Standard,223
43,Musician,18627.64,1387.303333333330,7,7,19,6,31,22,7.0,1793.54,35.91940492740650,Yes,65.13948777561220,75.79138890495670,277.7994566527640,Standard,228
21,Engineer,12986.745,959.22875,4,3,10,2,30,14,5.0,1489.49,26.32926887043730,Yes,16.719300227776100,16.286719355483000,312.91685541674100,Standard,104
43,Writer,58317.0,4664.75,8,5,9,6,18,20,6.0,98.97,27.806917787306900,Yes,149.89719942100800,83.30040818642510,483.2773923925670,Standard,158
37,Scientist,42171.98,3764.331666666670,2,7,10,3,2,10,4.0,556.91,29.46412057567320,,102.7629131170900,82.51039863115370,451.15985491842300,Good,262
36,Manager,71681.4,5799.45,3,6,15,1,8,3083,0.0,1293.02,40.79113730976770,Yes,53.92351397165270,,358.0953999823700,Good,311
16,Mechanic,29469.98,2227.8316666666700,7,7,24,5,53,21,11.0,3421.66,38.177310964520900,Yes,69.68545857227980,71.26438577406130,361.83332232032600,Poor,162
36,Musician,15566.02,1423.168333333330,8,5,32,4,17,20,7.0,1693.95,24.251028181031900,Yes,43.07051960231590,169.62098009559800,219.62533363542000,Poor,95
33,Media_Manager,12909.895,853.8245833333330,5,5,753,0,17,14,1.0,602.5,35.63389378598970,No,0.0,31.012826650846400,334.36963168248700,Standard,210
42,Architect,20574.47,1740.539166666670,6,3,14,4,1,7,11.0,749.95,38.33877418250450,Yes,49.348666321498700,119.2737917167100,275.43145862845900,Standard,137
21,,148699.32,12432.61,3,4,1138,,13,4,1.0,949.38,28.510774652067800,No,364.9151774048710,237.91838093113200,880.4274416639960,Good,368
27,Architect,14165.23,1057.4358333333300,7,10,33,9,59,24,11.0,2797.17,32.4729892967946,Yes,58.86844083860840,45.62644681511020,281.2486956796150,Poor,173
30,Teacher,87215.68,7489.973333333330,2,6,8,2,6,6,0.0,680.77,26.786102244586600,No,121.68201673654300,106.95036139440000,760.3649552023900,Standard,249
38,Doctor,95956.5,8279.375,8,4,11,2,23,10,2.0,1079.73,42.13760292599430,,95.5216287821567,377.3584081424740,635.0574630753690,Standard,381
25,Manager,49967.01,4091.9175,6,5,31,6,27,11,12.0,2253.95,31.52078179699130,Yes,156.00331166279200,116.36129396965700,386.8271443675520,Poor,209
14,Developer,39887.22,3224.935,9,9,16,,57,22,14.0,3119.6,34.97086572389590,,133.47084524343300,145.9405485815750,303.082106174993,Standard,156
44,Developer,14129.76,1012.48,8,5,21,8,62,18,6.0,4071.62,28.13414922331560,,81.71265500803960,31.286542757446100,268.2488022345140,Poor,152
43,Developer,123732.32,10416.026666666700,4,3,11,0,15,8,3.0,1154.46,32.686459062049600,No,0.0,874.7145584645820,446.88810820208500,Standard,329
